5,Trader Joes #120,Trader Joes #120,2015-04-02,,878 Eastlake Pkwy,1
7,Sew Pros 4,Sew Pros 4,2015-04-02,,5525 Clairemont Mesa Blvd,0
13,Ruttis Hair Salon,Ruttis Hair Salon,2015-04-03,,8909 Complex Dr,0
14,Trader Joes # 223,Trader Joes # 223,2015-04-03,,13480 Highlands Place,1
15,Harsey & Harsey,Harsey & Harsey,2015-04-03,,4090 Morena Blvd,1
19,Perry's Cafe,Perry's Cafe,2015-04-07,,4610 Pacific Hwy,0
20,Carefree Vacations,Carefree Vacations,2015-04-07,storefront,878 Eastlake Pkwy  Suite # 1310,0
21,Subway,Subway,2015-04-07,storefront,3298 Greyling Dr,0
22,Genesee Plaza Cleaners,Genesee Plaza Cleaners,2015-04-07,storefront,4203 Genesee Ave,0
24,Health Point Wellness Clinic,Health Point Wellness Clinic,2015-04-07,storefront,9450 Scranton Rd,0
25,C and D Cycles,C and D Cycles,2015-04-07,storefront,4927 Convoy St,1
26,Bergen And Brasier,Bergen And Brasier,2015-04-07,storefront,5710 Kearny Villa Rd,1
27,Champagne Spas,Champagne Spas,2015-04-07,storefront,5710 Kearny Villa Rd,1
28,La Mesa Chiropratic,La Mesa Chiropratic,2015-04-07,storefront,4690 Nebo Dr,0
29,Cal Accounts,Cal Accounts,2015-04-08,,323 Van Houten Ave,0
30,G.T.M. Discount #2,G.T.M. Discount #2,2015-04-08,,7663 Broadway,1
36,Palomar Cleaners,Palomar Cleaners,2015-04-08,,7870 Broadway,0
37,Dell Enterprises,Dell Enterprises,2015-04-08,,7949 Broadway,1
38,Steiger Floral & Arts,Steiger Floral & Arts,2015-04-08,,8057 Broadway,0
39,American Licensing,American Licensing,2015-04-08,storefront,5232 Jackson Dr,0
40,Roccoforte Hair,Roccoforte Hair,2015-04-08,storefront,8131 La Mesa Blvd,0
41,Rick Gallery and Framing,Rick Gallery and Framing,2015-04-08,storefront,8808 La Mesa Blvd,0
42,La Mesa Glass,La Mesa Glass,2015-04-08,,8710 Railroad Avenue,1
43,Socal Engineering,Socal Engineering,2015-04-08,,7354 Trade St,0
46,Trader Joes # 26,Trader Joes # 26,2015-04-08,,1190 University Ave,1
47,G.T.M Discount #1,G.T.M Discount #1,2015-04-08,storefront,8967 Carlton Hills Blvd,1
51,Gosch Ford Escondido,Gosch Ford Escondido,2015-04-08,,1717 Auto Park Way,0
53,Trader Joes #24,Trader Joes #24,2015-04-08,,5495 Grossmont Blvd,1
54,Tru Hair Salon,Tru Hair Salon,2015-04-08,,9625 Black Mountain Rd,0
56,Trader Joes # 222,Trader Joes # 222,2015-04-09,,1072 Camino Del Rio N,1
59,Outrageous Rugs,Outrageous Rugs,2015-04-09,,7126 Miramar Rd,1
60,Top Buns Sandwich,Top Buns Sandwich,2015-04-09,,7128 Miramar Rd,0
61,Cosmopolitian Cleaners,Cosmopolitian Cleaners,2015-04-09,storefront,9450 Scranton Rd,0
62,Sorento Valley Optomertic,Sorento Valley Optomertic,2015-04-09,,9450 Scranton Rd,0
64,Sherwood Mechanical,Sherwood Mechanical,2015-04-09,,6630 Top Gun St,1
66,San Diego Shade,San Diego Shade,2015-04-09,,7354 Trade St,1
67,Trader Joes #188,Trader Joes #188,2015-04-09,,2401 Truxtun Rd,1
68,Newen Enterprises,Newen Enterprises,2015-04-09,,1250 Pacific Oaks Pl,1
69,Trader Joes # 20,Trader Joes # 20,2015-04-09,,8657 La Jolla Village Dr,1
70,Trader Joes # 21,Trader Joes # 21,2015-04-09,,1211 Garnet Ave,1
73,Sprouts # 2,Sprouts # 2,2015-04-10,,690 Thrid Ave.,1
75,Cumming Chevrolet,Cumming Chevrolet,2015-04-10,,2301 National City Blvd,1
76,Hyde Edwards,Hyde Edwards,2015-04-10,,2308 Kettner Blvd,1
77,Luxe Hair Studio,Luxe Hair Studio,2015-04-10,,1111 Fort Stockton Dr,0
78,Edward D. Jones,Edward D. Jones,2015-04-10,,1111 Fort Stockton Dr,1
80,Rbs/Bluemotif Architecture,Rbs/Bluemotif Architecture,2015-04-10,,2311 Kettner Blvd,0
81,Compass Real Estate,Compass Real Estate,2015-04-10,storefront,1625 W Lewis St,1
82,U.P.S Store,U.P.S Store,2015-04-10,,302 Washington St,1
89,Check into Cash #940,Check into Cash #940,2015-04-13,,1965 El Cajon Blvd,0
91,Mission Hills Fabric,Mission Hills Fabric,2015-04-13,storefront,1604 W Lewis St,0
93,Lancetown Industries  Inc - Powers Plumbing,Lancetown Industries  Inc - Powers Plumbing,2015-04-13,storefront,1705 W Lewis St,1
95,G.T.M Office,G.T.M Office,2015-04-13,,Gillespie Way,1
96,Solo Beauty Botique,Solo Beauty Botique,2015-04-13,storefront,7853 El Cajon Blvd,0
97,Bit Company,Bit Company,2015-04-13,,8085 La Mesa Blvd,1
99,Box Galaxy,Box Galaxy,2015-04-13,storefront,7465 Mission Gorge Rd,0
100,Drinking Water,Drinking Water,2015-04-13,storefront,235 Town Center Pkwy,0
101,Sew Pros #1,Sew Pros #1,2015-04-13,,393 Broadway,1
102,Citi Dental Rancho,Citi Dental Rancho,2015-04-13,,2451 Jamacha Rd,1
103,Broadway Coin & Stamp,Broadway Coin & Stamp,2015-04-13,,473 Broadway,0
104,Check into Cash # 937,Check into Cash # 937,2015-04-13,,1224 Broadway,0
105,Sams Shoes,Sams Shoes,2015-04-13,,484 W Main St,0
106,The Barbecue Pit,The Barbecue Pit,2015-04-13,,2388 Fletcher Pkwy,1
123,Mount Miguel Convenant Village,Mount Miguel Convenant Village,2015-04-16,,325 Kempton St,0
124,Cambridge Square HOA,Cambridge Square HOA,2015-04-16,HOA,350 Nutmeg St,0
125,Citi Dental,Citi Dental,2015-04-17,,290 E Douglas Ave,1
126,7-11 #5,7-11 #5,2015-04-17,,2270 Fletcher Pkwy,0
127,Darel Kennedy's,Darel Kennedy's,2015-04-17,,2276 Fletcher Pkwy,0
128,Honey B Silk- Signs,Honey B Silk- Signs,2015-04-17,,2284 Fletcher Pkwy,0
129,Diamond Creation,Diamond Creation,2015-04-17,,751 Jamacha Rd,0
130,Dr. Kerry Booth,Dr. Kerry Booth,2015-04-17,,2990 Jamacha Rd,0
132,Cory's Closet,Cory's Closet,2015-04-17,,3745 Avocado Blvd,0
133,Salvation Army,Salvation Army,2015-04-17,,4170 Balboa Ave,0
134,Trader Joes # 23,Trader Joes # 23,2015-04-17,,11955 Carmel Mountain Rd,0
135,Quality Tax Service,Quality Tax Service,2015-04-17,,9829 Campo Rd,1
136,Minor Construction,Minor Construction,2015-04-17,,301 Enterprise St,1
139,Baker Electric - 1298 building,Baker Electric - 1298 building,2015-04-18,,1298 Pacific Oaks Pl,0
140,California Coast Credit Union - Genesee,California Coast Credit Union - Genesee,2015-04-18,,4265 Genesee Ave,0
141,Oggi's Pizza & Brewing,Oggi's Pizza & Brewing,2015-04-18,,2562 Laning Rd,0
142,Punjabi- Tandoor,Punjabi- Tandoor,2015-04-18,,5425 Morehouse Dr,0
145,California Coast Credit Union - Chula Vista,California Coast Credit Union - Chula Vista,2015-04-21,,386 E H St,1
156,La Costa Glen,La Costa Glen,2015-04-26,,1940 Levante Street,1
157,California Coast Credit Union - Poway,California Coast Credit Union - Poway,2015-04-27,,13616 Poway Rd,0
158,Trader Joes #221,Trader Joes #221,2015-04-27,,9850 Hibert St,1
