id,name,address,service,price,employees,duration,rate,points,price_variation
1,Sprouts,878 Eastlake Pkwy,['Window Cleaning'],,,,,,
1,Sprouts,878 Eastlake Pkwy,"['Window Cleaning', 'Window Cleaning']",,,,,,
5,Trader Joes #120,878 Eastlake Pkwy,['Window Cleaning'],,,,,,
14,Trader Joes # 223,13480 Highlands Place,['Window Cleaning'],,,,,,
14,Trader Joes # 223,13480 Highlands Place,['Exterior Window Cleaning'],,,,,,
15,Harsey & Harsey,4090 Morena Blvd,['Interior/Exterior Window Cleaning'],,,,,,
15,Harsey & Harsey,4090 Morena Blvd,['Exterior Window Cleaning'],,,,,,
15,Harsey & Harsey,4090 Morena Blvd,['Window Cleaning'],,,,,,
25,C and D Cycles,4927 Convoy St,['Exterior Window Cleaning'],,,,,,
26,Bergen And Brasier,5710 Kearny Villa Rd,['Interior/Exterior Window Cleaning'],,,,,,
27,Champagne Spas,5710 Kearny Villa Rd,['Exterior Window Cleaning'],,,,,,
27,Champagne Spas,5710 Kearny Villa Rd,"['Exterior Window Cleaning', 'Interior Only Window Cleaning']",,,,,,
27,Champagne Spas,5710 Kearny Villa Rd,"['Interior Only Window Cleaning', 'Exterior Window Cleaning']",,,,,,
27,Champagne Spas,5710 Kearny Villa Rd,['Interior Only Window Cleaning'],,,,,,
27,Champagne Spas,5710 Kearny Villa Rd,"['Exterior Window Cleaning', 'Interior Only Window Cleaning', 'Interior Only Window Cleaning']",,,,,,
27,Champagne Spas,5710 Kearny Villa Rd,"['Exterior Window Cleaning', 'Interior/Exterior Window Cleaning']",,,,,,
27,Champagne Spas,5710 Kearny Villa Rd,['Interior/Exterior Window Cleaning'],,,,,,
30,G.T.M. Discount #2,7663 Broadway,['Exterior Window Cleaning'],,,,,,
30,G.T.M. Discount #2,7663 Broadway,['Interior Only Window Cleaning'],,,,,,
30,G.T.M. Discount #2,7663 Broadway,"['Exterior Window Cleaning', 'Paint Removal']",,,,,,
30,G.T.M. Discount #2,7663 Broadway,['Paint Removal'],,,,,,
37,Dell Enterprises,7949 Broadway,['Interior/Exterior Window Cleaning'],,,,,,
42,La Mesa Glass,8710 Railroad Avenue,['Exterior Window Cleaning'],,,,,,
42,La Mesa Glass,8710 Railroad Avenue,['Window Cleaning'],,,,,,
42,La Mesa Glass,8710 Railroad Avenue,"['Window Cleaning', 'Interior/Exterior Window Cleaning']",,,,,,
46,Trader Joes # 26,1190 University Ave,['Interior/Exterior Window Cleaning'],,,,,,
47,G.T.M Discount #1,8967 Carlton Hills Blvd,['Exterior Window Cleaning'],,,,,,
47,G.T.M Discount #1,8967 Carlton Hills Blvd,['Interior/Exterior Window Cleaning'],,,,,,
47,G.T.M Discount #1,8967 Carlton Hills Blvd,"['Exterior Window Cleaning', 'Paint Removal']",,,,,,
47,G.T.M Discount #1,8967 Carlton Hills Blvd,"['Window Coverings', 'Window Coverings', 'Window Coverings']",,,,,,
47,G.T.M Discount #1,8967 Carlton Hills Blvd,['Paint Removal'],,,,,,
53,Trader Joes #24,5495 Grossmont Blvd,['Exterior Window Cleaning'],,,,,,
56,Trader Joes # 222,1072 Camino Del Rio N,['Exterior Window Cleaning'],,,,,,
56,Trader Joes # 222,1072 Camino Del Rio N,['Interior/Exterior Window Cleaning'],,,,,,
56,Trader Joes # 222,1072 Camino Del Rio N,"['Interior/Exterior Window Cleaning', 'Interior/Exterior Window Cleaning']",,,,,,
59,Outrageous Rugs,7126 Miramar Rd,['Exterior Window Cleaning'],,,,,,
64,Sherwood Mechanical,6630 Top Gun St,['in and out of lobby windows'],,,,,,
64,Sherwood Mechanical,6630 Top Gun St,['Interior/Exterior Window Cleaning'],,,,,,
64,Sherwood Mechanical,6630 Top Gun St,"['in and out of lobby windows', 'Interior Only Window Cleaning']",,,,,,
66,San Diego Shade,7354 Trade St,['Exterior Window Cleaning'],,,,,,
66,San Diego Shade,7354 Trade St,['Interior/Exterior Skylight(s) Cleaning'],,,,,,
67,Trader Joes #188,2401 Truxtun Rd,['Interior/Exterior Window Cleaning'],,,,,,
68,Newen Enterprises,1250 Pacific Oaks Pl,['Interior/Exterior Window Cleaning'],,,,,,
68,Newen Enterprises,1250 Pacific Oaks Pl,['Exterior Window Cleaning'],,,,,,
69,Trader Joes # 20,8657 La Jolla Village Dr,['Interior/Exterior Window Cleaning'],,,,,,
69,Trader Joes # 20,8657 La Jolla Village Dr,['Exterior Window Cleaning'],,,,,,
69,Trader Joes # 20,8657 La Jolla Village Dr,['Window Cleaning Out'],,,,,,
70,Trader Joes # 21,1211 Garnet Ave,['Interior/Exterior Window Cleaning'],,,,,,
73,Sprouts # 2,690 Thrid Ave.,['Interior/Exterior Window Cleaning'],,,,,,
73,Sprouts # 2,690 Thrid Ave.,"['Interior/Exterior Window Cleaning', 'Window Cleaning In/Out', 'Window Cleaning Out']",,,,,,
75,Cumming Chevrolet,2301 National City Blvd,"['Interior/Exterior Window Cleaning', 'Inside Partition Glass Cleaning']",,,,,,
75,Cumming Chevrolet,2301 National City Blvd,['Exterior Window Cleaning'],,,,,,
75,Cumming Chevrolet,2301 National City Blvd,"['Interior/Exterior Window Cleaning', 'Paint Removal']",,,,,,
76,Hyde Edwards,2308 Kettner Blvd,"['Exterior Window Cleaning', 'Interior Only Window Cleaning']",,,,,,
76,Hyde Edwards,2308 Kettner Blvd,"['Exterior Window Cleaning', 'Interior Only Window Cleaning', '2 side windows']",,,,,,
76,Hyde Edwards,2308 Kettner Blvd,['Interior/Exterior Window Cleaning'],,,,,,
76,Hyde Edwards,2308 Kettner Blvd,['Paint Removal'],,,,,,
76,Hyde Edwards,2308 Kettner Blvd,['Exterior Window Cleaning'],,,,,,
78,Edward D. Jones,1111 Fort Stockton Dr,['Exterior Window Cleaning'],,,,,,
81,Compass Real Estate,1625 W Lewis St,['Interior/Exterior Window Cleaning'],,,,,,
81,Compass Real Estate,1625 W Lewis St,['Exterior Window Cleaning'],,,,,,
82,U.P.S Store,302 Washington St,['Interior/Exterior Window Cleaning'],,,,,,
93,Lancetown Industries  Inc - Powers Plumbing,1705 W Lewis St,['Interior/Exterior Window Cleaning'],,,,,,
95,G.T.M Office,Gillespie Way,['Exterior Window Cleaning'],,,,,,
95,G.T.M Office,Gillespie Way,['Interior Only Window Cleaning'],,,,,,
97,Bit Company,8085 La Mesa Blvd,['Exterior Window Cleaning'],,,,,,
101,Sew Pros #1,393 Broadway,['Exterior Window Cleaning'],,,,,,
101,Sew Pros #1,393 Broadway,['Interior/Exterior Window Cleaning'],,,,,,
